name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
Mackison,mackison,NB/36 P2 NB24 K28 G28 R/4,NB#003C64 P#780078 K#101010 G#006818 R#C80000,#003C64|#780078|#101010|#006818|#C80000,yes,204,B_one_independent_archive,tartans-authority
Macnaughton Hunting,macnaughton-hunting,DG/2 R2 G44 T42 DG24 R22 G44 R2 DG/2,DG#003820 G#154D1E T#604000 R#A00000,#003820|#A00000|#154D1E|#604000,yes,364,C_dual_register_scrape,
Macneil of Barra - Chief (Personal),macneil-of-barra-chief-personal,W/2 R4 B32 K28 G30 K6 Y/2,K#101010 R#C80000 Y#E8C000 W#FCFCFC G#006818 B#1474B4,#FCFCFC|#C80000|#1474B4|#101010|#006818|#E8C000,yes,204,C_dual_register_scrape,
Madder,madder,WP/4 WM10 WG56 WM54 WP54 WM8 WG/56,WG#004028 WM#780014 WP#280032,#280032|#780014|#004028,yes,424,C_dual_register_scrape,
Made in Scotland,made-in-scotland,WW6 K18 LB4 K2 LB4 K2 LB4 K2 LB4 K2 LB40 O4 LB40 K2 LB4 K2 LB4 K2 LB4 K2 LB4 K4 PB4,PB#9058D8 O#D87C00 LB#2888C4 K#101010 WW#FCFCFC,#FCFCFC|#101010|#2888C4|#D87C00|#9058D8,no,164,B_one_independent_archive,tartans-authority
Madewell,madewell,R/4 K4 W4 K28 DG26 LG12 Y4 K4 W/4,K#101010 DG#003820 LG#289C18 R#C80000 W#E0E0E0 Y#E8C000,#C80000|#101010|#E0E0E0|#003820|#289C18|#E8C000,yes,172,B_one_independent_archive,tartans-authority
Madewell Dress,madewell-dress,R/4 K4 W32 DG26 LG12 Y4 K4 W/4,K#101010 DG#003820 LG#289C18 R#C80000 W#E0E0E0 Y#E8C000,#C80000|#101010|#E0E0E0|#003820|#289C18|#E8C000,yes,172,B_one_independent_archive,tartans-authority
Maguire,maguire,G/36 R36 K6 R6 B6 R6 B8 R6 K18 R8 G36 WW12 K/6,WW#FCFCFC B#2C2C80 R#C80000 G#006818 K#101010,#006818|#C80000|#101010|#2C2C80|#FCFCFC,yes,338,C_dual_register_scrape,
"Maguire, Black",maguire-black,R/116 G8 R8 G8 R24 Y/84,R#FF0000 Y#FFE600 G#008B00,#FF0000|#008B00|#FFE600,yes,296,B_one_independent_archive,tartans-authority
Maine Dirigo,maine-dirigo,B/16 LSB4 G16 R8 G56 B8 G4 B4 LSB4 B4 LSB52 R4 G/4,B#2C2C80 R#C80000 G#006818 LSB#98C8E8,#2C2C80|#98C8E8|#006818|#C80000,yes,348,B_one_independent_archive,tartans-authority
